date,segment,daily_net_flow,daily_buy,daily_sell,trade_count,cum_net_flow
2024-09-20,Medium,27.75,27.75,0.0,1,64392.578363
2024-09-22,Medium,-65.01875000000001,620.8999999999999,685.9187499999999,5,64327.559613
2024-09-24,Medium,-15.024090000000001,1.40466,16.42875,2,64312.535523
2024-09-26,Medium,-3.05241,0.0,3.05241,2,64309.483113
2024-09-30,Medium,-2.98128,0.0,2.98128,2,64306.501833
2024-10-02,Medium,-0.00375,0.0,0.00375,1,64306.498083
2024-10-03,Medium,13.8546,13.8546,0.0,1,64320.352683
2024-10-28,Medium,220.17831999999999,220.17831999999999,0.0,4,64540.531003
2024-10-29,Medium,217.45969999999997,217.45969999999997,0.0,5,64757.990702999996
2024-10-30,Medium,4294.56346,4294.56346,0.0,13,69052.554163
2024-10-31,Medium,1483.370536000001,1605.944286,122.57374999999902,7,70535.924699
2024-11-01,Medium,180.54539699999998,912.700997,732.1556,18,70716.470096
2024-11-02,Medium,103.93509800000027,1373.272398,1269.3372999999997,16,70820.405194
2024-11-03,Medium,1104.1271459999998,1207.325406,103.19825999999999,8,71924.53234
2024-11-04,Medium,873.256299,873.256299,0.0,2,72797.788639
2024-11-05,Medium,852.875897,1556.356597,703.4807,10,73650.664536
2024-11-06,Medium,26730.626366,31003.138756,4272.51239,42,100381.29090200001
2024-11-07,Medium,2674.399492,2674.399492,0.0,7,103055.690394
2024-11-08,Medium,41.4976880000004,2638.432988,2596.9352999999996,19,103097.18808200001
2024-11-09,Medium,-5236.683514000001,17059.601026,22296.28454,204,97860.504568
2024-11-10,Medium,1935862.154524,2937267.721994,1001405.56747,140156,2033722.659092
2024-11-11,Medium,341698.25658899994,1317165.083889,975466.8273,118116,2375420.915681
2024-11-12,Medium,10160.675934999997,13060.001054999997,2899.325119999998,559,2385581.591616
2024-11-13,Medium,3556246.6526470003,3557617.599817,1370.9471699999997,999541,5941828.244263001
2024-11-14,Medium,3499.8649929999983,6639.156112999998,3139.29112,108,5945328.109256
2024-11-15,Medium,-2499.660231,418.2117589999998,2917.8719899999996,38,5942828.449025
2024-11-16,Medium,941.781091,1930.180241,988.39915,65,5943770.230116
2024-11-17,Medium,-5346.580432000001,1036.8332579999997,6383.41369,80,5938423.649684001
2024-11-18,Medium,4188.226813,6049.591523,1861.3647099999998,97,5942611.876497
2024-11-19,Medium,-2863.977009,1544.673791,4408.6508,46,5939747.899488
2024-11-20,Medium,2352.216879,2818.8219190000004,466.60504000000003,16,5942100.116367
2024-11-21,Medium,-2145.316195,830.969385,2976.2855799999998,25,5939954.800172
2024-11-22,Medium,-1199.8491189999988,294.42351099999996,1494.2726299999988,19,5938754.951053
2024-11-23,Medium,2539.640558999999,3766.4589189999992,1226.8183599999998,26,5941294.591612
2024-11-24,Medium,-15336.654498000004,92.689942,15429.344440000003,12,5925957.937114
2024-11-25,Medium,1240.7231629999999,1768.610723,527.88756,14,5927198.660277001
2024-11-26,Medium,33976.666672,34425.226892,448.56021999999996,33,5961175.326949
2024-11-27,Medium,-4.94431,0.0,4.94431,1,5961170.382639
2024-11-28,Medium,136.77099800000002,136.78999800000003,0.019,2,5961307.153637
2024-11-29,Medium,-517.3133,0.0,517.3133,3,5960789.840337
2024-11-30,Medium,-387.65947600000004,55.49999399999999,443.15947000000006,4,5960402.180861
2024-12-01,Medium,17.799996,17.799996,0.0,2,5960419.980857001
2024-12-02,Medium,1536.590854,1657.281774,120.69092,7,5961956.571711
2024-12-12,Medium,191424.0,191424.0,0.0,2000,6153380.571711
2024-12-13,Medium,1547.269516,2010.8466759999994,463.57715999999937,28,6154927.841227001
2024-12-14,Medium,-0.33985000000001264,959.91912,960.25897,14,6154927.5013770005
2024-12-15,Medium,-1.0,0.0,1.0,1,6154926.5013770005
2024-12-16,Medium,0.0709449999999947,65.889045,65.8181,2,6154926.572322001
2024-12-17,Medium,2.063918000000008,2039.920038,2037.85612,80,6154928.63624
2024-12-18,Medium,2902649.574881,2904542.309241,1892.73436,34008,9057578.211121
2024-12-19,Medium,3601607.869446,4005934.929126,404327.05968,53959,12659186.080567
2024-12-20,Medium,2429.087481000001,27568.203201,25139.115719999998,25975,12661615.168048
2024-12-21,Medium,489580.954774,1062913.9631339998,573333.00836,151860,13151196.122822
2024-12-22,Medium,381410.96927800006,1118308.564008,736897.59473,137865,13532607.0921
2024-12-23,Medium,102415.53994199996,279293.444982,176877.90504,81918,13635022.632042
