17:03:03 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 560 batches, 280000 trades so far
17:03:05 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 570 batches, 285000 trades so far
17:03:08 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 580 batches, 290000 trades so far
17:03:10 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 590 batches, 295000 trades so far
17:03:12 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 600 batches, 300000 trades so far
17:03:16 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 610 batches, 305000 trades so far
17:03:18 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 620 batches, 310000 trades so far
17:03:22 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 630 batches, 315000 trades so far
17:03:24 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 640 batches, 320000 trades so far
17:03:27 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 650 batches, 325000 trades so far
17:03:30 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 660 batches, 330000 trades so far
17:03:33 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 670 batches, 335000 trades so far
17:03:35 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 680 batches, 340000 trades so far
17:03:38 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 690 batches, 345000 trades so far
17:03:41 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 700 batches, 350000 trades so far
17:03:44 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 710 batches, 355000 trades so far
17:03:46 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 720 batches, 360000 trades so far
17:03:49 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 730 batches, 365000 trades so far
17:03:52 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 740 batches, 370000 trades so far
17:03:54 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 750 batches, 375000 trades so far
17:03:57 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 760 batches, 380000 trades so far
17:03:59 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 770 batches, 385000 trades so far
17:04:02 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 780 batches, 390000 trades so far
17:04:04 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 790 batches, 395000 trades so far
